workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{4cbc4c8b-0ab2-4ce4-a60f-5f13f38e67aa},{b34602eb-e717-4c0f-b1a6-8e673c1f70c4},COMPLETED,Deploy to QA,676
solutionsmetrixcrmdev,esl,{4da93e11-4894-405a-b496-cbaee0bd0105},{5bb1dc1f-b498-4ad3-894e-fe6d52ee22ce},COMPLETED,Deploy to QA,416
solutionsmetrixcrmdev,esl,{3d2af2f6-483d-457a-ba49-817a7425530a},{17e9c684-dde1-4ebe-91e4-50821cd7fc18},COMPLETED,Deploy to QA,580
solutionsmetrixcrmdev,esl,{88efda39-d21d-44e2-bdb9-692bd1d73892},{9a67460e-d013-48ff-9c97-af572845ae3b},COMPLETED,Deploy to QA,706
solutionsmetrixcrmdev,esl,{584f85cb-3587-4d54-8c59-1a61d22913ac},{505b0dec-2e6c-4ca5-83a7-42f24fee8aaa},COMPLETED,Deploy to QA,417
solutionsmetrixcrmdev,esl,{6ffa1dc2-8570-48be-bf3c-4b12e5b1aa0e},{e8c51d7e-9c9b-4810-9381-7e4f435359f9},COMPLETED,Deploy to QA,428
solutionsmetrixcrmdev,esl,{343d2e1d-f58d-47c3-ac5c-b61c0f0c6942},{ef088a28-1a82-4a18-9664-9fa4de24712d},COMPLETED,Deploy to QA,593
solutionsmetrixcrmdev,esl,{fcaaf72c-d55f-42a0-9d98-d3393feb9419},{9c65f52c-b3a8-447c-8fe3-ea005a91d6b3},COMPLETED,Deploy to QA,561
solutionsmetrixcrmdev,esl,{71e0a864-225a-4445-aef8-07e06146eae2},{53e5dba1-c47f-4c25-8da4-c73c4ef7414e},COMPLETED,Deploy to QA,548
solutionsmetrixcrmdev,esl,{c91357d9-f478-4af9-bb7e-bf8bc8634a32},{8ba3a45a-3b88-4ed9-b65a-29c21e4a35fe},COMPLETED,Deploy to QA,722
solutionsmetrixcrmdev,esl,{75a88594-c9be-4e3f-899a-b64d45b86e14},{03666da1-fde0-48bb-9d21-859200377b52},COMPLETED,Deploy to QA,692
solutionsmetrixcrmdev,esl,{e3546491-8770-40fb-ab5b-55f464b13ff3},{3e7328db-fa95-4bd8-b658-5f4da935ad8c},COMPLETED,Deploy to QA,499
solutionsmetrixcrmdev,esl,{fffe15be-6030-4b2a-a5f0-61363ad26e27},{5208fc6f-02fc-4d50-98ed-fb015b9df963},COMPLETED,Deploy to QA,473
